BDE - BASE DE DADOS DO ESTADO DE PERNAMBUCO,,,
"População residente por sexo, segundo os bairros",,,
,,,
,,,
Municipios / Bairros,2010,,
,Total,Homens,Mulheres
Recife,-,-,-
Aflitos,5.773,2.541,3.232
Afogados,36.265,16.694,19.571
Água Fria,43.529,20.294,23.235
Alto do Mandu,4.655,2.091,2.564
Alto José Bonifácio,12.462,5.863,6.599
Alto José do Pinho,12.334,5.617,6.717
Alto Santa Teresinha,7.703,3.601,4.102
Apipucos,3.342,1.567,1.775
Areias,29.894,13.573,16.321
Arruda,14.53,6.607,7.923
Barro,31.847,14.965,16.882
Beberibe,8.856,4.231,4.625
Boa Viagem,122.922,55.044,67.878
Boa Vista,14.778,6.164,8.614
Bomba do Hemetério,8.472,3.88,4.592
Bongi,8.097,3.723,4.374
Brasília Teimosa,18.334,8.571,9.763
Brejo da Guabiraba,11.732,5.564,6.168
Brejo de Beberibe,8.292,3.938,4.354
Cabanga,1.551,679,872
Cajueiro,6.584,2.983,3.601
Campina do Barreto,9.484,4.43,5.054
Campo Grande,32.149,14.557,17.592
Casa Amarela,29.18,12.995,16.185
Casa Forte,6.75,3.014,3.736
Caxangá,9.634,4.584,5.05
Caçote,10.47,4.954,5.516
Cidade Universitária,818,419,399
Coelhos,7.633,3.571,4.062
Cohab,67.283,31.584,35.699
Coqueiral,10.794,5.073,5.721
Cordeiro,41.164,18.416,22.748
Córrego do Jenipapo,9.246,4.418,4.828
Curado,16.418,7.753,8.665
Derby,2.071,855,1.216
Dois Irmãos,2.566,1.251,1.315
Dois Unidos,32.905,15.662,17.243
Encruzilhada,11.94,5.196,6.744
Engenho do Meio,10.211,4.609,5.602
Espinheiro,10.438,4.465,5.973
Estância,9.24,4.326,4.914
Fundão,8.132,3.707,4.425
Graças,20.538,8.842,11.696
Guabiraba,6.33,3.116,3.214
Hipódromo,2.658,1.162,1.496
Ibura,50.617,23.833,26.784
Ilha do Leite,1.007,446,561
Ilha do Retiro,3.74,1.79,1.95
Ilha Joana Bezerra,12.629,6.002,6.627
Imbiribeira,48.512,22.508,26.004
Ipsep,25.029,11.007,14.022
Iputinga,52.2,24.036,28.164
Jaqueira,1.591,705,886
Jardim São Paulo,31.648,14.624,17.024
Jíquiá,10.245,4.775,5.47
Jordão,20.777,9.746,11.031
Linha do Tiro,14.867,7.005,7.862
Macaxeira,20.313,9.725,10.588
Madalena,23.082,10.34,12.742
Mangabeira,6.95,3.169,3.781
Mangueira,8.48,3.88,4.6
Monteiro,5.917,2.713,3.204
Morro da Conceição,10.182,4.723,5.459
Mustardinha,12.429,5.659,6.77
Nova Descoberta,34.212,16.245,17.967
Paissandu,507,218,289
Parnamirim,7.636,3.408,4.228
Passarinho,20.305,9.954,10.351
Pau-Ferro,72,34,38
Peixinhos,4.998,2.443,2.555
Pina,29.176,13.503,15.673
Ponto de Parada,1.554,693,861
Porto da Madeira,7.713,3.579,4.134
Poço,4.615,2.097,2.518
Prado,11.694,5.285,6.409
Recife,602,287,315
Rosarinho,4.077,1.817,2.26
San Martin,25.414,11.584,13.83
Sancho,11.199,7.014,4.185
Santana,3.054,1.376,1.678
Santo Amaro,27.939,12.68,15.259
Santo Antônio,285,159,126
São José,8.688,4.191,4.497
Sítio dos Pintos,7.276,3.495,3.781
Soledade,2.495,1.041,1.454
Tamarineira,14.124,6.151,7.973
Tejipió,8.918,4.085,4.833
Torre,17.903,7.919,9.984
Torreão,1.083,475,608
Torrões,32.015,15.101,16.914
Totó,2.42,1.101,1.319
Várzea,70.453,32.87,37.583
Vasco da Gama,31.025,14.501,16.524
Zumbi,6.033,2.678,3.355
"Fonte: Instituto Brasileiro de Geografia e Estatística, Censo Demográfico 2010 - Resultados do Universo.",,,
